,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
29230,ESPORTSTMNT03/1380702,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380702?gameHash=1582ec6474f72a4c,OCS,2020,,0,2020-05-21 07:57:09,1,10.1,100,Blue,team,,Legacy Genesis,,Yasuo,Taliyah,Syndra,,,2453,1,21,19,55,21,19,1.0,1.0,1.0,0.0,0.0,,,,0.5137,0.9784,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,108136,2644.9898,,126,3.0819,60,1.4676,58,301.0,7.3624,70586,44187,1080.8072,,63260.0,0.026995599999999995,,875.0,235,161,16,27.1504,14247.0,16091.0,254.0,14801.0,15936.0,268.0,-554.0,155.0,-14.0,23610.0,27065.0,442.0,21322.0,25282.0,421.0,2288.0,1783.0,21.0
29231,ESPORTSTMNT03/1380702,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380702?gameHash=1582ec6474f72a4c,OCS,2020,,0,2020-05-21 07:57:09,1,10.1,200,Red,team,,RMIT Redbacks,,Jarvan IV,Soraka,Varus,Tahm Kench,Morgana,2453,0,19,21,36,19,21,2.0,1.0,0.0,0.0,1.0,,,,0.4647,0.9784,1.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,62885,1538.1574,,141,3.4488,59,1.4431,65,326.0,7.9739,62953,36554,894.1052,,61575.0,-0.026995599999999995,,867.0,207,156,3,26.2699,14801.0,15936.0,268.0,14247.0,16091.0,254.0,554.0,-155.0,14.0,21322.0,25282.0,421.0,23610.0,27065.0,442.0,-2288.0,-1783.0,-21.0
29508,ESPORTSTMNT03/1392240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392240?gameHash=4264030d63926372,OCS,2020,,0,2020-05-28 09:27:39,1,10.1,1,Blue,top,Vans,Legacy Genesis,Maokai,Zoe,Graves,Vladimir,Syndra,Jarvan IV,2120,0,2,3,7,15,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4245,0.8774,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10806,305.8302,0.169164,14,0.3962,7,0.1981,3,47.0,1.3302,9234,4634,131.1509,0.146069,9395.0,,172.0,168.0,4,4,0,4.8679,2926.0,4008.0,74.0,2875.0,4009.0,70.0,51.0,-1.0,4.0,4704.0,5359.0,93.0,4389.0,6366.0,104.0,315.0,-1007.0,-11.0
29509,ESPORTSTMNT03/1392240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392240?gameHash=4264030d63926372,OCS,2020,,0,2020-05-28 09:27:39,1,10.1,2,Blue,jng,Falkner,Legacy Genesis,Kindred,Zoe,Graves,Vladimir,Syndra,Jarvan IV,2120,0,3,1,9,15,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4245,0.8774,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10111,286.1604,0.15828399999999998,12,0.3396,9,0.2547,11,46.0,1.3019,11859,7259,205.4434,0.228819,11900.0,,196.0,50.0,146,103,11,5.5472,3270.0,3087.0,53.0,2731.0,2660.0,53.0,539.0,427.0,0.0,5332.0,4947.0,78.0,4472.0,4984.0,87.0,860.0,-37.0,-9.0
29510,ESPORTSTMNT03/1392240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392240?gameHash=4264030d63926372,OCS,2020,,0,2020-05-28 09:27:39,1,10.1,3,Blue,mid,Buggy,Legacy Genesis,LeBlanc,Zoe,Graves,Vladimir,Syndra,Jarvan IV,2120,0,2,3,8,15,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4245,0.8774,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11960,338.4906,0.187229,9,0.2547,17,0.4811,7,53.0,1.5,10569,5969,168.934,0.188153,10675.0,,221.0,213.0,8,8,0,6.2547,2990.0,4199.0,72.0,3187.0,4433.0,88.0,-197.0,-234.0,-16.0,4760.0,6450.0,111.0,5589.0,7456.0,136.0,-829.0,-1006.0,-25.0
29511,ESPORTSTMNT03/1392240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392240?gameHash=4264030d63926372,OCS,2020,,0,2020-05-28 09:27:39,1,10.1,4,Blue,bot,Kedu,Legacy Genesis,Varus,Zoe,Graves,Vladimir,Syndra,Jarvan IV,2120,0,5,4,5,15,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4245,0.8774,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,22915,648.5377,0.358725,13,0.3679,10,0.283,7,38.0,1.0755,14172,9572,270.9057,0.301734,12725.0,,285.0,273.0,12,8,0,8.066,3694.0,3198.0,81.0,2857.0,2970.0,66.0,837.0,228.0,15.0,6205.0,4738.0,117.0,5596.0,5194.0,100.0,609.0,-456.0,17.0
29512,ESPORTSTMNT03/1392240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392240?gameHash=4264030d63926372,OCS,2020,,0,2020-05-28 09:27:39,1,10.1,5,Blue,sup,Nausicaa,Legacy Genesis,Bard,Zoe,Graves,Vladimir,Syndra,Jarvan IV,2120,0,3,5,9,15,16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4245,0.8774,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8087,228.8774,0.126599,49,1.3868,9,0.2547,17,79.0,2.2358,8890,4290,121.4151,0.135225,8325.0,,35.0,35.0,0,0,0,0.9906,2706.0,3227.0,16.0,1929.0,2602.0,12.0,777.0,625.0,4.0,4536.0,4365.0,22.0,3209.0,4011.0,20.0,1327.0,354.0,2.0
29513,ESPORTSTMNT03/1392240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392240?gameHash=4264030d63926372,OCS,2020,,0,2020-05-28 09:27:39,1,10.1,6,Red,top,unknown player,Pentanet.GG Rise,Poppy,Ornn,Aphelios,Miss Fortune,Sejuani,Trundle,2120,1,2,2,7,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4528,0.8774,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6694,189.4528,0.08433919999999999,19,0.5377,6,0.1698,9,35.0,0.9906,12077,7477,211.6132,0.21362899999999999,11025.0,,234.0,227.0,7,7,0,6.6226,2875.0,4009.0,70.0,2926.0,4008.0,74.0,-51.0,1.0,-4.0,4389.0,6366.0,104.0,4704.0,5359.0,93.0,-315.0,1007.0,11.0
29514,ESPORTSTMNT03/1392240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392240?gameHash=4264030d63926372,OCS,2020,,0,2020-05-28 09:27:39,1,10.1,7,Red,jng,Seb,Pentanet.GG Rise,Elise,Ornn,Aphelios,Miss Fortune,Sejuani,Trundle,2120,1,1,5,8,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4528,0.8774,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10911,308.8019,0.13747,9,0.2547,11,0.3113,11,49.0,1.3868,10027,5427,153.5943,0.155055,9575.0,,159.0,28.0,131,60,18,4.5,2731.0,2660.0,53.0,3270.0,3087.0,53.0,-539.0,-427.0,0.0,4472.0,4984.0,87.0,5332.0,4947.0,78.0,-860.0,37.0,9.0
29515,ESPORTSTMNT03/1392240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392240?gameHash=4264030d63926372,OCS,2020,,0,2020-05-28 09:27:39,1,10.1,8,Red,mid,Looch,Pentanet.GG Rise,Karma,Ornn,Aphelios,Miss Fortune,Sejuani,Trundle,2120,1,4,1,12,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4528,0.8774,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20642,584.2075,0.260073,10,0.283,12,0.3396,8,33.0,0.934,13436,8836,250.0755,0.25246,11800.0,,255.0,233.0,22,17,4,7.217,3187.0,4433.0,88.0,2990.0,4199.0,72.0,197.0,234.0,16.0,5589.0,7456.0,136.0,4760.0,6450.0,111.0,829.0,1006.0,25.0
29516,ESPORTSTMNT03/1392240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392240?gameHash=4264030d63926372,OCS,2020,,0,2020-05-28 09:27:39,1,10.1,9,Red,bot,Piglet101,Pentanet.GG Rise,Ezreal,Ornn,Aphelios,Miss Fortune,Sejuani,Trundle,2120,1,9,1,4,16,15,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4528,0.8774,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,35918,1016.5472,0.452539,14,0.3962,7,0.1981,4,29.0,0.8208,14817,10217,289.1604,0.29191999999999996,11783.0,,261.0,231.0,30,28,1,7.3868,2857.0,2970.0,66.0,3694.0,3198.0,81.0,-837.0,-228.0,-15.0,5596.0,5194.0,100.0,6205.0,4738.0,117.0,-609.0,456.0,-17.0
29517,ESPORTSTMNT03/1392240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392240?gameHash=4264030d63926372,OCS,2020,,0,2020-05-28 09:27:39,1,10.1,10,Red,sup,Crayzee,Pentanet.GG Rise,Nautilus,Ornn,Aphelios,Miss Fortune,Sejuani,Trundle,2120,1,0,6,9,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4528,0.8774,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5205,147.3113,0.0655789,46,1.3019,10,0.283,15,74.0,2.0943,7643,3043,86.1226,0.0869364,7125.0,,34.0,34.0,0,0,0,0.9623,1929.0,2602.0,12.0,2706.0,3227.0,16.0,-777.0,-625.0,-4.0,3209.0,4011.0,20.0,4536.0,4365.0,22.0,-1327.0,-354.0,-2.0
29518,ESPORTSTMNT03/1392240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392240?gameHash=4264030d63926372,OCS,2020,,0,2020-05-28 09:27:39,1,10.1,100,Blue,team,,Legacy Genesis,,Zoe,Graves,Vladimir,Syndra,Jarvan IV,2120,0,15,16,38,15,16,1.0,0.0,0.0,0.0,1.0,,,,0.4245,0.8774,0.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,1.0,1.0,0.0,1.0,63879,1807.8962,,97,2.7453,52,1.4717,45,263.0,7.4434,54724,31722,897.7925,,53020.0,0.0328196,,739.0,170,123,11,25.7264,15586.0,17719.0,296.0,13579.0,16674.0,289.0,2007.0,1045.0,7.0,25537.0,25859.0,421.0,23255.0,28011.0,447.0,2282.0,-2152.0,-26.0
29519,ESPORTSTMNT03/1392240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392240?gameHash=4264030d63926372,OCS,2020,,0,2020-05-28 09:27:39,1,10.1,200,Red,team,,Pentanet.GG Rise,,Ornn,Aphelios,Miss Fortune,Sejuani,Trundle,2120,1,16,15,40,16,15,2.0,1.0,1.0,0.0,0.0,,,,0.4528,0.8774,1.0,4.0,1.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,1.0,0.0,79370,2246.3208,,98,2.7736,46,1.3019,47,220.0,6.2264,58000,34998,990.5094,,51308.0,-0.0328196,,753.0,190,112,23,26.6887,13579.0,16674.0,289.0,15586.0,17719.0,296.0,-2007.0,-1045.0,-7.0,23255.0,28011.0,447.0,25537.0,25859.0,421.0,-2282.0,2152.0,26.0
29988,ESPORTSTMNT01/1410928,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1410928?gameHash=ccbe88ec2bc996fd,OCS,2020,,0,2020-06-04 09:52:25,1,10.11,1,Blue,top,sa11y,Legacy Genesis,Poppy,Sylas,Graves,Cassiopeia,Renekton,Mordekaiser,1962,0,1,4,6,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3058,0.7951,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10793,330.0612,0.206166,13,0.3976,2,0.0612,3,27.0,0.8257,10563,6285,192.2018,0.19388,9625.0,,221.0,205.0,16,4,0,6.7584,2797.0,4461.0,66.0,3549.0,4719.0,80.0,-752.0,-258.0,-14.0,4295.0,7146.0,114.0,5441.0,7003.0,116.0,-1146.0,143.0,-2.0
29989,ESPORTSTMNT01/1410928,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1410928?gameHash=ccbe88ec2bc996fd,OCS,2020,,0,2020-06-04 09:52:25,1,10.11,2,Blue,jng,Falkner,Legacy Genesis,Gragas,Sylas,Graves,Cassiopeia,Renekton,Mordekaiser,1962,0,1,4,6,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3058,0.7951,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9973,304.9847,0.190503,22,0.6728,7,0.2141,12,53.0,1.6208,9430,5152,157.5535,0.15892799999999999,8960.0,,148.0,16.0,132,96,5,4.526,2543.0,2434.0,44.0,3647.0,4086.0,70.0,-1104.0,-1652.0,-26.0,3859.0,4194.0,73.0,5404.0,6301.0,114.0,-1545.0,-2107.0,-41.0
29990,ESPORTSTMNT01/1410928,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1410928?gameHash=ccbe88ec2bc996fd,OCS,2020,,0,2020-06-04 09:52:25,1,10.11,3,Blue,mid,Buggy,Legacy Genesis,Yasuo,Sylas,Graves,Cassiopeia,Renekton,Mordekaiser,1962,0,3,2,5,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3058,0.7951,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8513,260.3364,0.162614,10,0.3058,1,0.0306,4,15.0,0.4587,12543,8265,252.7523,0.254959,12750.0,,260.0,247.0,13,1,10,7.9511,2849.0,4355.0,68.0,3224.0,4706.0,87.0,-375.0,-351.0,-19.0,4407.0,7040.0,114.0,5107.0,7539.0,139.0,-700.0,-499.0,-25.0
29991,ESPORTSTMNT01/1410928,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1410928?gameHash=ccbe88ec2bc996fd,OCS,2020,,0,2020-06-04 09:52:25,1,10.11,4,Blue,bot,Styled,Legacy Genesis,Aphelios,Sylas,Graves,Cassiopeia,Renekton,Mordekaiser,1962,0,5,2,2,10,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3058,0.7951,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18121,554.159,0.346144,14,0.4281,6,0.1835,8,34.0,1.0398,14076,9798,299.633,0.30225,12750.0,,309.0,265.0,44,32,4,9.4495,3183.0,3072.0,85.0,2829.0,2936.0,68.0,354.0,136.0,17.0,5008.0,4811.0,131.0,4576.0,4867.0,113.0,432.0,-56.0,18.0
29992,ESPORTSTMNT01/1410928,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1410928?gameHash=ccbe88ec2bc996fd,OCS,2020,,0,2020-06-04 09:52:25,1,10.11,5,Blue,sup,Nausicaa,Legacy Genesis,Thresh,Sylas,Graves,Cassiopeia,Renekton,Mordekaiser,1962,0,0,4,8,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3058,0.7951,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4951,151.4067,0.0945732,45,1.3761,10,0.3058,15,77.0,2.3547,7195,2917,89.2049,0.0899823,6975.0,,36.0,36.0,0,0,0,1.1009,2095.0,2843.0,17.0,1838.0,2378.0,5.0,257.0,465.0,12.0,3110.0,4375.0,23.0,2660.0,3773.0,7.0,450.0,602.0,16.0
29993,ESPORTSTMNT01/1410928,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1410928?gameHash=ccbe88ec2bc996fd,OCS,2020,,0,2020-06-04 09:52:25,1,10.11,6,Red,top,Nightfaller,QUT Tigers,Maokai,Varus,LeBlanc,Ornn,Vladimir,Kayle,1962,1,6,2,7,16,10,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4893,0.7951,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17672,540.4281,0.310711,7,0.2141,9,0.2752,1,29.0,0.8869,13042,8764,268.0122,0.23669899999999996,11745.0,,228.0,212.0,16,3,0,6.9725,3549.0,4719.0,80.0,2797.0,4461.0,66.0,752.0,258.0,14.0,5441.0,7003.0,116.0,4295.0,7146.0,114.0,1146.0,-143.0,2.0
