,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
214,5657-7256,complete,https://lpl.qq.com/es/stats.shtml?bmid=5657,LPL,2020,Spring,0,2020-01-14 10:22:00,2,10.1,100,Blue,team,,Rogue Warriors,,Jarvan IV,Rumble,Olaf,Gragas,Braum,1934,0,9,26,30,9,26,1.0,0.0,0.0,0.0,0.0,,,,0.2792,1.0858,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,10.0,1.0,0.0,0.0,2.0,66620,2066.8046,,113,3.5057,67,2.0786,45,245.0,7.6008,48939,27834,863.516,,48100.0,-0.17145,,,173,128,4,,14295.0,16921.0,275.0,16249.0,16877.0,270.0,-1954.0,44.0,5.0,21854.0,26339.0,437.0,24245.0,26488.0,440.0,-2391.0,-149.0,-3.0
215,5657-7256,complete,https://lpl.qq.com/es/stats.shtml?bmid=5657,LPL,2020,Spring,0,2020-01-14 10:22:00,2,10.1,200,Red,team,,eStar,,Akali,Aphelios,Elise,Quinn,Mordekaiser,1934,1,26,9,63,26,9,2.0,1.0,0.0,0.0,1.0,,,,0.8066,1.0858,1.0,4.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,10.0,3.0,0.0,1.0,2.0,0.0,79765,2474.6122,,149,4.6225,56,1.7373,55,263.0,8.1593,64369,43264,1342.213,,57120.0,0.17145,,,239,149,20,,16249.0,16877.0,270.0,14295.0,16921.0,275.0,1954.0,-44.0,-5.0,24245.0,26488.0,440.0,21854.0,26339.0,437.0,2391.0,149.0,3.0
324,5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,2020-01-16 11:47:00,1,10.1,1,Blue,top,Crazy,Rogue Warriors,Aatrox,Irelia,Qiyana,Rumble,Rek'Sai,Camille,2436,1,3,2,9,18,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4433,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,20014,492.9557,0.232194,20,0.4926,10,0.2463,6,55.0,1.3547,15603,10358,255.1232,0.22676100000000002,13700.0,,279.0,247.0,32,11,8,6.8719,3702.0,5031.0,93.0,2649.0,3957.0,57.0,1053.0,1074.0,36.0,5711.0,7629.0,145.0,4813.0,6700.0,103.0,898.0,929.0,42.0
325,5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,2020-01-16 11:47:00,1,10.1,2,Blue,jng,Haro,Rogue Warriors,Gragas,Irelia,Qiyana,Rumble,Rek'Sai,Camille,2436,1,7,5,9,18,19,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4433,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,15744,387.7833,0.18265599999999999,43,1.0591,10,0.2463,19,88.0,2.1675,14466,9221,227.1182,0.20187,11675.0,,184.0,13.0,171,123,9,4.532,3346.0,2932.0,54.0,3166.0,3619.0,73.0,180.0,-687.0,-19.0,4762.0,4499.0,87.0,5167.0,5918.0,108.0,-405.0,-1419.0,-21.0
326,5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,2020-01-16 11:47:00,1,10.1,3,Blue,mid,Ruby,Rogue Warriors,Ryze,Irelia,Qiyana,Rumble,Rek'Sai,Camille,2436,1,3,5,5,18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4433,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,18650,459.3596,0.21636999999999998,21,0.5172,10,0.2463,10,43.0,1.0591,14621,9376,230.936,0.205263,12085.0,,277.0,251.0,26,23,0,6.8227,3505.0,4887.0,88.0,3296.0,4865.0,92.0,209.0,22.0,-4.0,4995.0,6880.0,128.0,5760.0,7285.0,133.0,-765.0,-405.0,-5.0
327,5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,2020-01-16 11:47:00,1,10.1,4,Blue,bot,ZWuJi,Rogue Warriors,Miss Fortune,Irelia,Qiyana,Rumble,Rek'Sai,Camille,2436,1,4,1,10,18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4433,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,25637,631.4532,0.29743,21,0.5172,23,0.5665,9,65.0,1.601,17477,12232,301.2808,0.267788,15025.0,,377.0,323.0,54,36,4,9.2857,3333.0,3119.0,89.0,3323.0,3158.0,84.0,10.0,-39.0,5.0,4576.0,4635.0,121.0,4861.0,5225.0,122.0,-285.0,-590.0,-1.0
328,5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,2020-01-16 11:47:00,1,10.1,5,Blue,sup,Ley,Rogue Warriors,Leona,Irelia,Qiyana,Rumble,Rek'Sai,Camille,2436,1,1,6,7,18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4433,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,6150,151.4778,0.0713498,54,1.33,18,0.4433,15,121.0,2.9803,9736,4491,110.6158,0.09831820000000001,8175.0,,42.0,42.0,0,0,0,1.0345,2123.0,2491.0,13.0,2228.0,2593.0,15.0,-105.0,-102.0,-2.0,3133.0,3483.0,21.0,3401.0,4002.0,21.0,-268.0,-519.0,0.0
329,5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,2020-01-16 11:47:00,1,10.1,6,Red,top,Bin,Suning,Mordekaiser,Akali,Aphelios,Olaf,Pantheon,Renekton,2436,0,5,5,8,19,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.468,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,23301,573.9163,0.243023,19,0.468,3,0.0739,8,33.0,0.8128,13819,8574,211.1823,0.23742199999999997,14050.0,,252.0,226.0,26,15,0,6.2069,2649.0,3957.0,57.0,3702.0,5031.0,93.0,-1053.0,-1074.0,-36.0,4813.0,6700.0,103.0,5711.0,7629.0,145.0,-898.0,-929.0,-42.0
330,5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,2020-01-16 11:47:00,1,10.1,7,Red,jng,SofM,Suning,Lee Sin,Akali,Aphelios,Olaf,Pantheon,Renekton,2436,0,3,3,9,19,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,11612,286.0099,0.12111,29,0.7143,22,0.5419,17,77.0,1.8966,12610,7365,181.4039,0.203943,11650.0,,227.0,64.0,163,97,14,5.5911,3166.0,3619.0,73.0,3346.0,2932.0,54.0,-180.0,687.0,19.0,5167.0,5918.0,108.0,4762.0,4499.0,87.0,405.0,1419.0,21.0
331,5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,2020-01-16 11:47:00,1,10.1,8,Red,mid,Angel,Suning,Zoe,Akali,Aphelios,Olaf,Pantheon,Renekton,2436,0,10,3,3,19,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,30307,746.4778,0.31609299999999996,25,0.6158,9,0.2217,12,46.0,1.133,13739,8494,209.2118,0.235206,13435.0,,234.0,218.0,16,16,0,5.7635,3296.0,4865.0,92.0,3505.0,4887.0,88.0,-209.0,-22.0,4.0,5760.0,7285.0,133.0,4995.0,6880.0,128.0,765.0,405.0,5.0
332,5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,2020-01-16 11:47:00,1,10.1,9,Red,bot,Weiwei,Suning,Senna,Akali,Aphelios,Olaf,Pantheon,Renekton,2436,0,1,3,12,19,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,25953,639.2365,0.27068200000000003,15,0.3695,16,0.3941,4,58.0,1.4286,13923,8678,213.7438,0.240302,14080.0,,277.0,255.0,22,22,0,6.8227,3323.0,3158.0,84.0,3333.0,3119.0,89.0,-10.0,39.0,-5.0,4861.0,5225.0,122.0,4576.0,4635.0,121.0,285.0,590.0,1.0
